company_id,ceo,city,company_name,company_type_dict,contact_address,country,found_year,geo,hq,incorporated,industry,intro,link_facebook,link_ins,link_linkedin,link_twitter,link_youtube,logo,operate_state_dict,postcode,province,staff_range
f9de88cdc0d0413bfd0b4b88ab86217d,,Carle Place,Let's Order Now,Privately Held,"393 Old Country RD, Carle Place, New York, 11514, US",United States,2011,us,"Carle Place, New York",,"Technology, Information and Internet","LetsOrderNow.com: Save Time & Money Ordering In

Everyone Orders & Pays Separately and can Jump On Deliveries in Real Time
More Orders Earns More Free Meal Rewards for You and Charity. Contact Lunch@LetsOrderNow.com or 1.212.OrderNow (673.3766) for a free trial

No Delivery Fees or Costs!",,,https://www.linkedin.com/company/let's-order-now,,,https://static.myflashinfo.com/image/8/8/2/882b398989c5bb6ab23de94367dea8f9.jpeg,,,New York,2月10日
af59cf371820c095f2a8dad41955e781,,Brooklyn,CEDERHOLM inc.,,"Brooklyn, New York, 11218, US",United States,,us,"Brooklyn, New York",,"Technology, Information and Internet",Design and branding shop focusing on the needs of small to medium business. Specializing in website design and print.,,,https://www.linkedin.com/company/cederholm-inc.,,,https://static.myflashinfo.com/image/a/6/4/a6446e932102c6480ae46d5c8ace65b9.jpeg,,,New York,0-1
9e00263e0f52a3e2d0e2cd3eba1495c3,,Brooklyn,AbilityList,Nonprofit,"240 Kent Ave, Brooklyn, NY, 11249, US",United States,2012,us,"Brooklyn, NY",,"Technology, Information and Internet","Founded in 2012, AbilityList is an early stage startup with a purpose to connect the more than 56 million disabled Americans and those who support them with the resources, organizations, and activities available in their hometowns. We believe that by housing all of these resources in one place and enabling the community to share what they know, we can dramatically improve the general well-being and health of a technologically neglected group of individuals. AbilityList is currently operating in New York City with plans to serve every single hometown in the United States. You can learn more about the organization on our website at www.abilitylist.org

Ability List, Inc is a federally certified 501(c)(3).",,,https://www.linkedin.com/company/abilitylist,,,https://static.myflashinfo.com/image/2/8/d/28d1b288fb85e59277fc8bc7650cb8cf.jpeg,,,New York,2月10日
c667d733bc6ce380ff26fefa4a81b8a4,,Brooklyn,New Montage Creative Media,,"390 17th Street, Brooklyn, NY, 11215, US",United States,2008,us,"Brooklyn, NY",,"Technology, Information and Internet","New Montage conducts business in a revolutionary way: listening to you, communicating with you, and responding to your requirements.

We weave innovative new media design and content development into a powerful, effective online presence for your company. The results? Cleanly designed sites. A user-friendly experience. Enriched content that stays on-message. All crafted with intuitive professionalism to dynamically reflect your intentions. WORDS: strategic improvement on existing content ? social media ? white papers ? case studies 

THE DIGITAL WEAVE: website design ? web content ? company video",,,https://www.linkedin.com/company/new-montage-media,,,https://static.myflashinfo.com/image/1/b/c/1bc5e845f68c631d44a7207faa72aa20.jpeg,,,New York,0-1
be41c16239de1991e4c85ab858690c53,,New York City,FileThread Technologies,Privately Held,"New York City, US",United States,2020,us,New York City,,"Technology, Information and Internet","FileThread is a workspace that stores your team’s collaboration. Keep track of files and team messages side-by-side. You’ll never get confused about the context, or the latest version.",,,https://www.linkedin.com/company/filethread-technologies,,,https://static.myflashinfo.com/image/9/e/e/9ee3bca8ccb918fc3818d926958054c7.jpeg,,,New York,2月10日
dd3a2196643218f084a0631f45985b66,,Brooklyn,Uncover More,Privately Held,"Brooklyn, New York, US",United States,,us,"Brooklyn, New York",,"Technology, Information and Internet","Your guide offering hyper-local and tailored experiences right at your fingertips.

Download now to uncover more.

Our Vision: To make your plans easy, fun, and attainable",,https://www.instagram.com/uncovermore,https://www.linkedin.com/company/uncover-more,,https://www.youtube.com/channel/uctyulimup2ma63pdlwkjz6w/videos,https://static.myflashinfo.com/image/1/f/c/1fc0e48576b25e4b42bb4b85e1f0cf4a.jpeg,,,New York,2月10日
ea674f146da2d024ac560026a500f2ee,,New York City,Dofat TV Network,Partnership,"123 Broadway, New York City, 10019, US",United States,2010,us,New York City,,"Technology, Information and Internet","Dofat TV is a celebrity video chat network for industry professionals to network and promote. Our community averages over 1 million views per month and we offer daily live entertainment and shows for our viewers. Celebrities that have supported us in the past are Diddy, 50 Cent, Waka Flocka, Kelly Rowland, Justin Bieber, Jadakiss, and more...",,,https://www.linkedin.com/company/dofat-tv-network,,,https://static.myflashinfo.com/image/b/c/3/bc306968361ae3434f665edf648d14b1.jpeg,,,New York,2月10日
a34355bb40c7feec454f77f0c7cb40b2,,Mineola,We-Care.com,Privately Held,"330 Old Country Road, Mineola, New York, 10001, US",United States,2008,us,"Mineola, New York",,"Technology, Information and Internet","We all love giving back, but not all of us have the means to give as much, and as often, as we'd like to give. We-Care.com gives people the power to support their favorite charities, without spending anything extra. Through We-Care.com's empowering technology, nonprofits have raised valuable dollars that have helped organizations complete projects like a well in Haiti that provides safe water to an entire community, a vocational center in India that is saving hundreds of children from a life in the sex trade, animal rescue efforts that have saved thousands of animals from abuse and neglect, experiments that have brought us a step closer to a cure for HIV/AIDS, disaster relief efforts, and much, much more. Whether you are shopping online through We-Care.com, participating in one of our sweepstakes, or using any of our other technology, you are simultaneously giving back to your community. We care. Do you?",https://www.facebook.com/shopwithpurpose,,https://www.linkedin.com/company/we-care-com,https://www.twitter.com/wecare,,https://static.myflashinfo.com/image/4/7/6/4769a89aca45a78561f63fab05ce412d.jpeg,,,New York,11-50
ba7f5183cda6e832fd40dd8a56039fca,,Brooklyn,Darling Creative Group,Privately Held,"33 Washington Street #6, Brooklyn, NY, 11201, US",United States,2012,us,"Brooklyn, NY",,"Technology, Information and Internet","Darling Creative Group is an award-winning team of creative and digital ecommerce experts. Based in New York, we work with leading global brands to deliver innovative marketing and commerce solutions using high impact design and cutting edged technology",,,https://www.linkedin.com/company/darling-creative-group-llc---new-york,,,https://static.myflashinfo.com/image/c/b/1/cb1f8e1ba9224eda7ba5e64839d0021d.jpeg,,78233,New York,0-1
b0a45431dc1f27f1e2d3a182a86aabf1,,New York City,"Videum Health, Inc",Privately Held,"360 E 72nd St. #C3104, New York City, New York, 10021, US",United States,2011,us,"New York City, New York",,"Technology, Information and Internet","Videum is a video technology platform providing a global end-to-end solution linking healthcare providers with professional and consumer health audiences.

Videum is disrupting how audiences engage with health information around the world. Its mission is to aggregate, curate and share evidence-based health videos on a global scale, in any language, to empower the digital health age.

Videum's objective is to address this challenge by offering a platform for healthcare providers to reach HCPs and patients with relevant videos in their native language across all devices and a technology, which enriches videos with contextual interactive features providing for an unprecedented engagement solution.",,,https://www.linkedin.com/company/videum-health-inc,,,https://static.myflashinfo.com/image/b/a/1/ba1c3f9bd479cdc83212a1eb96ee4884.jpeg,,,New York,11-50
d5862856406c3cbd3a19e9ecf3b71a07,,Brooklyn,Parade,Privately Held,"Brooklyn, NY, 11201, US",United States,2018,us,"Brooklyn, NY",,"Technology, Information and Internet","Parade makes Creative Basics—expressive underwear in soft, sustainable fabrics for people sizes XS-3X.",https://www.facebook.com/paradeunderwear,https://www.instagram.com/parade,https://www.linkedin.com/company/yourparade,https://www.twitter.com/yourparade,,https://static.myflashinfo.com/image/9/0/7/90712a6dfaee9b4f0ee2bc843cf10115.jpeg,,,New York,51-200
f9508c5c70816d7a0d099ac91effc0f2,,Brooklyn,blukid,,"Bushwick, Brooklyn, New York, US",United States,1997,us,"Brooklyn, New York",,"Technology, Information and Internet","COMPREHENSIVE

Our comprehensive approach affords our clients the opportunity to 'influence viewers, amplify branding + enhance connectivity'?.?

We create and redesign websites based upon a minimal aesthetic which serves to clarify content and sustain viewer interest while maintaining a strong visual identity across all associated digital platforms to drive engagement.

TARGETED

Our targeted techniques allow you to 'generate interest, exchange concepts and transfer perceptions'?.?

We focus on ensuring that your brand maintains a consistent, visually distinct and recognizable profile across multiple channels, including relevant social media platforms, as well as providing solutions which leverage social media connectivity in order to elevate engagement and increase search engine relevance.",https://www.facebook.com/blukid,https://www.instagram.com/blukiddesign,https://www.linkedin.com/company/blukid,https://www.twitter.com/blukid,,https://static.myflashinfo.com/image/e/8/e/e8eab2aab3eaf0b615e8b0711470138b.jpeg,,,New York,0-1
fc67c8032da4c21677d59bc79df5801f,,Corning,Scope Design,Partnership,"71 East Market Street, Corning, New York, 14830, US",United States,2004,us,"Corning, New York",,"Technology, Information and Internet","We are an innovative design firm with expertise across the board. From identity and branding to graphic and web design and development, we produce comprehensive solutions to fulfill your every design wish.

It's so much more than that!",https://www.facebook.com/scopedesignllc,https://www.instagram.com/scopedesignllc,https://www.linkedin.com/company/scopedesignllc,https://www.twitter.com/scopedesignllc,,https://static.myflashinfo.com/image/8/a/6/8a625e1a5c296a9686889832643c1701.jpeg,,,New York,2月10日
223e19ad0d1fc2ff24cdf9fef2556c5b,,Armonk,Massive Scale Consulting,Privately Held,"8 Wampus Ave, Armonk, New York, 10504, US",United States,2012,us,"Armonk, New York",,"Technology, Information and Internet","Innovation is the new source of competitive advantage in the modern economy. We help articulate and achieve business objectives through accelerating technology innovation.

Business outcome targets:
* Accelerate the rate of monetizable digital innovation
* Deliver differentiated services to market faster
* Increase return on technology investments traceable to business value

Key focus areas:
* DevOps transformation
* Cloud security
* Cloud platform build and migration
* Cloud operating model
* DevSecOps at Enterprise scale
* Product oriented organizational structures
* Agile ways of working and Lean principles
* SRE",,,https://www.linkedin.com/company/massive-scale-consulting,,,https://static.myflashinfo.com/image/5/1/9/519f4a8642ef34a2b341935b1191551d.jpeg,,,New York,2月10日
c375f16c0ffa701150b9c05cbe593cea,,Peekskill,ProWeb Innovations,,"101 Leda Drive, Peekskill, NY, 10566, US",United States,2007,us,"Peekskill, NY",,"Technology, Information and Internet","ProWeb Innovations, founded in 2007, has brought Managed Web Services to the small business industry. My one–on–one management solution fulfills all possible needs associated with designing, building, and managing a business class web site at a price the small business owner can afford.",,,https://www.linkedin.com/company/proweb-innovations,https://www.twitter.com/jsacci,https://www.youtube.com/user/jrsac,https://static.myflashinfo.com/image/7/a/f/7afa27334c6e345743c2f11b0ad2b8e1.jpeg,,,New York,1employee
cdb9ce5951d28213d5d136775436517d,,Ithaca,Sprout: Helping Minority-Owned Start-Ups Grow!,Privately Held,"Ithaca, New York, 14850, US",United States,2019,us,"Ithaca, New York",,"Technology, Information and Internet","Sprout is a platform founded by three black Cornell students who recognized the struggles many entrepreneurs face especially those from minority communities. Our goal is to help startups and small businesses grow while simultaneously helping to educate minorities of the importance and benefits of entrepreneurship. We have several initiatives in development for the coming months including a website and mobile app to help entrepreneurs increase exposure and growth in their business, so stay tuned!",,,https://www.linkedin.com/company/sprout-growth,,,https://static.myflashinfo.com/image/4/4/a/44a4f6e64edee6997f0080204deeef62.jpeg,,,New York,2月10日
c332ef5c2e718adcf0751adfa290abbb,,Oceanside,WebDesignYou,Privately Held,"2957 Roxbury Rd, Oceanside, NY, 11572, US",United States,2012,us,"Oceanside, NY",,"Technology, Information and Internet","Are you sick of dealing with cold and impersonal web designers whom you never met? Well here at WebDesignYou our creative team specializes in designing dynamic, interactive websites that will represent your brand and build your business’s presence online.

My name is Mauricio Vides creator and founder of WebDesignYou and I will personally meet with you to consult your website needs.

I offer tailored creative solutions to give your business a professional, eye-catching appearance to drive traffic and increase sales. I will also install a content management system, like WordPress or Joomla, if requested so that you can update your website at any time.

Through one-on-one consultative approach allows me to collaborate with you to develop a customized plan for your website, and we utilize the latest technologies and design concepts to help your business outshine the competition. I will personally be with you every step of the way. From brainstorming your website all the way to the finished product.

I reply to emails and calls within 24 hours for your convenience!",https://www.facebook.com/webdesignyou,,https://www.linkedin.com/company/webdesignyou,https://www.twitter.com/webdesignyou,,https://static.myflashinfo.com/image/4/a/2/4a2cb94e7ef81b597db19f3a76265e40.jpeg,,11572,New York,0-1
fbb3e942e061d543fc5ae814e95eabb9,,Freeport,Yellowfin Development,,"128 Sportsman Avenue, Freeport, NY, 11520, US",United States,2013,us,"Freeport, NY",,"Technology, Information and Internet","Serving Long Island and New York with over 20 years of experience in web design, web development, and internet marketing, Yellowfin Development specializes in responsive, mobile-friendly websites for all business needs.",https://www.facebook.com/yellowfindevelopment,,https://www.linkedin.com/company/yellowfin-development,https://www.twitter.com/yfdevelopment,,https://static.myflashinfo.com/image/8/4/1/84180e94a5a8c8386e940ba7edae4408.jpeg,,,New York,0-1
fedc3c82b54c2b6639c9442b7cb3c92a,,Bronxville,"Gibbons Digital Consultants, LLP",,"50 Sagamore Road, Suite B8, Bronxville, NY, 10708, US",United States,2007,us,"Bronxville, NY",,"Technology, Information and Internet","Gibbons Digital is a digital marketing firm which brings creativity and technical expertise to its clients. Gibbons Digital consultants have served the needs of businesses, both large and small, for over 20 years. They have provided strategic technology consulting services to Fortune 50 and Fortune 100 companies. Most recently they launched GDC with the goal of bringing superior digital consulting services to both large organizations, as well as smaller, local businesses. Gibbons Digital helps clients grow their business's both online and off. Gibbons Digital was recently acquired by InspiriaMedia Group.",https://www.facebook.com/gibbonsdigital,,https://www.linkedin.com/company/gibbons-digital-consultants-llp,https://www.twitter.com/gibbonsdigital,,https://static.myflashinfo.com/image/1/b/2/1b258173e18c10dbf02c0f1ec029219b.jpeg,,,New York,0-1
ea7a901822c7f6c00c4101994fb40cdb,,Goshen,Crimson Leaf Group,Privately Held,"45 St John St, Goshen, New York, 10924, US",United States,,us,"Goshen, New York",,"Technology, Information and Internet","Crimson Leaf, a privacy-first omnichannel marketing platform, is built around the belief that by comprehending consumer intent, we can improve advertising for both the consumer and the advertiser. Technology is the key, and we have not only years of expertise in the industry, but an understanding of how the most powerful audience expansion tools in the industry can communicate the intent of the consumer. Crimson Leaf has proven success in both acquiring users and delivering content that is relevant to the consumer across a variety of channels. This has allowed us to expand the services we provide and create value for a growing number of partners, including search engines and other well-established digital publishers. We excel in developing and expanding brands by applying our years of experience and marketing expertise in concert with industry leading technology to the key areas of Publishing, Search and Applications & Services.",,,https://www.linkedin.com/company/crimson-leaf-group,,,https://static.myflashinfo.com/image/f/0/e/f0edee376d503cd20e067f3e2825a62e.jpeg,,,New York,2月10日
f01ae991543273910ee61872947e1f40,,New York City,bring10,Privately Held,"., New York City, New York, US",United States,2011,us,"New York City, New York",,"Technology, Information and Internet","Bring10 is a reimagining of the daily deals space – a web and mobile platform designed to better connect consumers with local businesses. Rather than attempting to generate demand for local businesses by putting out unsolicited advertising and deals, an approach that delivers poor quality customers and creates supply-demand issues, we deliver existing demand to the vendors. Once a customer has indicated interest in a particular good or service, relevant businesses already have one foot in the door. Bring10 then gives them the ability to engage and attract that customer with a special offer or other incentive.",https://www.facebook.com/bring10/timeline,,https://www.linkedin.com/company/bring10,https://www.twitter.com/bring10,,https://static.myflashinfo.com/image/a/e/d/aeda7207012b217aec1d5bd92d835ef8.jpeg,,,New York,2月10日
